"cluster_membership","name","degrees","color"
2,"X363076_NA_NA",13,"#FF3B00"
3,"X374052_Fusobacterium_NA",1,"#FF7600"
7,"X469709_Bacteroides_Bacteroides.dorei",2,"#9DFF00"
1,"X469991_Clostridium_Clostridium.bolteae",3,"#FF0000"
22,"X470139_Clostridium_Clostridium.ramosum",0,"#D800FF"
23,"X470239_Dialister_Dialister.invisus",0,"#FF00EB"
3,"X470462_Gemella_Gemella.haemolysans",3,"#FF7600"
1,"X470973_Ruminococcus_Ruminococcus.torques",1,"#FF0000"
24,"X49274_Clostridium_NA",0,"#FF00B1"
3,"X500281_NA_NA",4,"#FF7600"
7,"X516022_Clostridium_NA",2,"#9DFF00"
21,"X539107_Erwinia_Pantoea.dispersa",1,"#9D00FF"
25,"X541301_Parabacteroides_NA",0,"#FF0076"
7,"X557450_NA_NA",13,"#9DFF00"
26,"X561636_Streptococcus_NA",0,"#FF003B"
2,"X571220_Oscillospira_NA",5,"#FF3B00"
2,"X582284_NA_NA",8,"#FF3B00"
2,"X584417_Oscillospira_NA",7,"#FF3B00"
3,"X64396_Fusobacterium_NA",4,"#FF7600"
7,"X69909_NA_NA",1,"#9DFF00"
7,"X71685_Ruminococcus_NA",1,"#9DFF00"
7,"X72853_Faecalibacterium_NA",5,"#9DFF00"
3,"X89770_Peptostreptococcus_Peptostreptococcus.anaerobius",5,"#FF7600"
1,"X90431_Clostridium_NA",5,"#FF0000"
